Name,MacAddress,SSH,WOL,Site,InstallDate,LastKnownIP
DESKTOP-HP2020,2C-27-D7-1D-00-C5,Yes,Yes,SJ,,
DESKTOP-HP2023,DC-4A-3E-96-D5-A4,Yes,Yes,SJ,,
DESKTOP-JN2023,FC-4D-D4-4B-AC-52,Yes,Yes,JN,,
DESKTOP-SC2021,04-42-1A-0E-06-93,Yes,Yes,SJ,,
DESKTOP-SC2022,F0-2F-74-F3-5E-95,Yes,Yes,SJ,,
DESKTOP-TD2015,D8-CB-8A-3C-3A-FF,Yes,Yes,SJ,,
LAPTOP-TDMSI,00-D8-61-85-A0-6B,Yes,Yes,SJ,,
SERVER-TD2020,18-03-73-BD-F7-BC,Yes,Yes,SJ,,
TimMini,14-98-77-6F-B1-88,Yes,Yes,SJ,,
WORKSTATION-TD2020,2C-F0-5D-71-EF-47,Yes,Yes,SJ,,
WORKSTATION-TD2023,04-42-1A-0B-2D-8D,Yes,Yes,SJ,,
SERVER-TD2023,FC-4D-D4-4B-AB-C5,Yes,Yes,SJ,,
DESKTOP-TD2023,18-03-73-C9-09-D2,Yes,Yes,SJ,6/3/2023,
DESKTOP-DL2023,98-90-96-DC-FC-02,Yes,Yes,SJ,7/30/2023,
DESKTOP-OP2023,34-17-EB-D1-29-6A,Yes,Yes,SJ,9/21/2023,
